time,score,pnl,capital,portfolio_value,variance,capitalUsage,maxDrawdown,total_profit,total_loss,count_profit,count_loss
2015-01-02 00:00:00,0.0,0.0,1000,1000.0,0,0,"{'maxPortfolioValue': 0, 'maxDrawdown': 0}",0,0,0,0
2015-01-05 00:00:00,1.0,0.0,1000.0,1000.0,0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-06 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-07 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-08 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-09 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-12 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-13 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-14 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-15 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-16 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-19 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-20 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-21 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-22 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-23 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-26 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-27 00:00:00,1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-28 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-29 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-01-30 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-02 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-03 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-04 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-05 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-06 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-09 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-10 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-11 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-12 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-13 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-16 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-17 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-18 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-19 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-20 00:00:00,-1.0,0.0,1000.0,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-23 00:00:00,-1.0,0.0,883.7252174,1000.0,0.0,0,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0}",0,0,0,0
2015-02-24 00:00:00,-1.0,-0.7638239999999996,884.4508502,999.236176,0.015778645225550066,116.27478259999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 0.7638239999999996}",0,0.7638239999999996,0,1
2015-02-25 00:00:00,-1.0417304331502526,-3.874290000000002,887.4057928999999,996.12571,0.2703280768921546,116.27478259999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 3.8742899999999736}",0,3.874290000000002,0,2
2015-02-26 00:00:00,-1.1956337255376421,-2.3742600000000067,885.9807644,997.62574,0.32164513779053977,116.27478259999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 3.8742899999999736}",1.5000299999999953,3.874290000000002,1,2
2015-02-27 00:00:00,-1.1319027251152123,-4.177970999999999,887.69428985,995.822029,0.39567645467216067,116.27478259999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 4.177970999999957}",1.5000299999999953,5.678000999999995,1,3
2015-03-02 00:00:00,-1.224865810207956,-3.598213000000001,887.14351975,996.401787,0.3950398295391889,116.27478259999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 4.177970999999957}",2.0797879999999935,5.678000999999995,2,3
2015-03-03 00:00:00,-1.191106550838238,-3.349745999999996,886.9074760999999,996.650254,0.3877709422969911,116.27478259999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 4.177970999999957}",2.3282549999999986,5.678000999999995,3,3
2015-03-04 00:00:00,-1.1853383073423214,-4.104370000000003,887.6243688999999,995.89563,0.39272462519627604,116.27478259999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 4.177970999999957}",2.3282549999999986,6.432625000000002,3,4
2015-03-05 00:00:00,-1.2547153623145235,-6.064498999999998,889.4864914499999,993.935501,0.4722711430087416,116.27478259999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 6.064498999999955}",2.3282549999999986,8.392753999999996,3,5
2015-03-06 00:00:00,-1.3723203231061925,-5.889662999999999,999.9999999999999,994.110337,0.4637823328208488,116.27478259999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 6.064498999999955}",2.5030909999999977,8.392753999999996,4,5
2015-03-09 00:00:00,-1.350881218005204,-5.889662999999999,999.9999999999999,994.110337,0.45492421185870724,116.27478259999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 6.064498999999955}",2.5030909999999977,8.392753999999996,4,5
2015-03-10 00:00:00,-1.4099994493580283,-5.889662999999999,999.9999999999999,994.110337,0.44639427345414623,116.27478259999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 6.064498999999955}",2.5030909999999977,8.392753999999996,4,5
2015-03-11 00:00:00,-1.4797678312169795,-5.889662999999999,999.9999999999999,994.110337,0.43817486155585206,116.27478259999998,"{'maxPortfolioValue': 1000.0, 'maxDrawdown': 6.064498999999955}",2.5030909999999977,8.392753999999996,4,5
